,Nompremier,Nomdeux,Score,Genre
0,['Cowboy Bebop'],['Fruits Basket'],6,"[' Adventure', ' Comedy', ' Space', ' Sci-Fi', ' Drama', 'Action']"
1,['Cowboy Bebop'],['Chou Henshin Cosprayers'],4,"[' Sci-Fi', 'Action', ' Adventure', ' Comedy']"
2,['Cowboy Bebop'],['Mobile Fighter G Gundam'],4,"[' Space', ' Drama', ' Sci-Fi', ' Comedy']"
3,['Cowboy Bebop'],['Turn A Gundam'],5,"[' Adventure', ' Space', ' Sci-Fi', ' Drama', 'Action']"
4,['Cowboy Bebop'],['Mobile Suit Gundam SEED Destiny'],4,"[' Space', 'Action', ' Drama', ' Sci-Fi']"
5,['Cowboy Bebop'],['Mobile Suit Gundam SEED'],4,"[' Space', 'Action', ' Drama', ' Sci-Fi']"
6,['Cowboy Bebop'],['Mobile Suit Gundam Wing: Endless Waltz'],4,"[' Space', 'Action', ' Drama', ' Sci-Fi']"
7,['Cowboy Bebop'],['Mobile Suit Gundam Wing'],4,"[' Space', 'Action', ' Drama', ' Sci-Fi']"
8,['Cowboy Bebop'],['Mobile Suit Gundam 0083: Stardust Memory'],4,"[' Space', ' Drama', ' Adventure', ' Sci-Fi']"
9,['Cowboy Bebop'],['Sunabouzu'],4,"[' Sci-Fi', 'Action', ' Adventure', ' Comedy']"
10,['Cowboy Bebop'],['One Piece'],4,"['Action', ' Drama', ' Adventure', ' Comedy']"
11,['Cowboy Bebop'],['Trigun'],5,"[' Adventure', ' Comedy', ' Sci-Fi', ' Drama', 'Action']"
12,['Cowboy Bebop'],['Cowboy Bebop: Tengoku no Tobira'],4,"[' Space', 'Action', ' Drama', ' Sci-Fi']"
13,['Cowboy Bebop: Tengoku no Tobira'],['Fruits Basket'],4,"[' Space', 'Action', ' Drama', ' Sci-Fi']"
14,['Cowboy Bebop: Tengoku no Tobira'],['Turn A Gundam'],4,"[' Space', 'Action', ' Drama', ' Sci-Fi']"
15,['Cowboy Bebop: Tengoku no Tobira'],['Mobile Suit Gundam SEED Destiny'],4,"[' Space', 'Action', ' Drama', ' Sci-Fi']"
16,['Cowboy Bebop: Tengoku no Tobira'],['Mobile Suit Gundam SEED'],4,"[' Space', 'Action', ' Drama', ' Sci-Fi']"
17,['Cowboy Bebop: Tengoku no Tobira'],['Mobile Suit Gundam Wing: Endless Waltz'],4,"[' Space', 'Action', ' Drama', ' Sci-Fi']"
18,['Cowboy Bebop: Tengoku no Tobira'],['Mobile Suit Gundam Wing'],4,"[' Space', 'Action', ' Drama', ' Sci-Fi']"
19,['Trigun'],['Fruits Basket'],5,"[' Adventure', ' Comedy', ' Sci-Fi', ' Drama', 'Action']"
20,['Trigun'],['Chou Henshin Cosprayers'],4,"[' Sci-Fi', 'Action', ' Adventure', ' Comedy']"
21,['Trigun'],['Chuuka Ichiban!'],4,"['Action', ' Shounen', ' Drama', ' Comedy']"
22,['Trigun'],['Turn A Gundam'],4,"[' Sci-Fi', ' Drama', ' Adventure', 'Action']"
23,['Trigun'],['Appleseed (Movie)'],4,"[' Sci-Fi', ' Shounen', ' Drama', 'Action']"
24,['Trigun'],['Rurouni Kenshin: Meiji Kenkaku Romantan'],4,"[' Shounen', 'Action', ' Adventure', ' Comedy']"
25,['Trigun'],['Sunabouzu'],5,"[' Shounen', ' Adventure', ' Comedy', ' Sci-Fi', 'Action']"
26,['Trigun'],['One Piece'],5,"[' Shounen', ' Adventure', ' Comedy', ' Drama', 'Action']"
27,['Trigun'],['Naruto'],4,"[' Shounen', 'Action', ' Adventure', ' Comedy']"
28,['Eyeshield 21'],['Tennis no Ouji-sama'],4,"[' Sports', ' Shounen', 'Action', ' Comedy']"
29,['Hachimitsu to Clover'],['Final Approach'],4,"[' Slice of Life', ' Romance', ' Drama', 'Comedy']"
30,['Naruto'],['Chou Henshin Cosprayers'],4,"[' Super Power', 'Action', ' Adventure', ' Comedy']"
31,['Naruto'],['Black Cat (TV)'],4,"[' Super Power', ' Shounen', ' Adventure', ' Comedy']"
32,['Naruto'],['Rurouni Kenshin: Meiji Kenkaku Romantan'],4,"[' Shounen', 'Action', ' Adventure', ' Comedy']"
33,['Naruto'],['Sunabouzu'],4,"[' Shounen', 'Action', ' Adventure', ' Comedy']"
34,['Naruto'],['One Piece'],5,"[' Super Power', ' Shounen', ' Adventure', ' Comedy', 'Action']"
35,['One Piece'],['Fruits Basket'],4,"['Action', ' Drama', ' Adventure', ' Comedy']"
36,['One Piece'],['Chou Henshin Cosprayers'],5,"[' Super Power', ' Fantasy', ' Adventure', ' Comedy', 'Action']"
37,['One Piece'],['Chuuka Ichiban!'],4,"['Action', ' Shounen', ' Drama', ' Comedy']"
38,['One Piece'],['Mai-HiME'],4,"['Action', ' Drama', ' Fantasy', ' Comedy']"
39,['One Piece'],"[""Mahou Shoujo Lyrical Nanoha A's""]",4,"[' Super Power', 'Action', ' Drama', ' Comedy']"
40,['One Piece'],['Mahou Shoujo Lyrical Nanoha'],4,"[' Super Power', 'Action', ' Drama', ' Comedy']"
41,['One Piece'],['Black Cat (TV)'],4,"[' Super Power', ' Shounen', ' Adventure', ' Comedy']"
42,['One Piece'],['Rurouni Kenshin: Meiji Kenkaku Romantan'],4,"[' Shounen', 'Action', ' Adventure', ' Comedy']"
43,['One Piece'],['Kenpuu Denki Berserk'],4,"[' Drama', ' Fantasy', ' Adventure', 'Action']"
44,['One Piece'],['Sunabouzu'],4,"[' Shounen', 'Action', ' Adventure', ' Comedy']"
45,['Sunabouzu'],['Fruits Basket'],4,"[' Sci-Fi', 'Action', ' Adventure', ' Comedy']"
46,['Sunabouzu'],['Chou Henshin Cosprayers'],5,"[' Adventure', ' Ecchi', ' Comedy', ' Sci-Fi', 'Action']"
47,['Sunabouzu'],['Rurouni Kenshin: Meiji Kenkaku Romantan'],4,"[' Shounen', 'Action', ' Adventure', ' Comedy']"
48,['Texhnolyze'],['Neon Genesis Evangelion'],4,"[' Sci-Fi', ' Drama', ' Psychological', 'Action']"
49,['Zipang'],['Turn A Gundam'],4,"[' Sci-Fi', ' Military', ' Drama', 'Action']"
50,['Zipang'],['Mobile Suit Gundam SEED Destiny'],4,"[' Sci-Fi', ' Military', ' Drama', 'Action']"
51,['Zipang'],['Mobile Suit Gundam SEED'],4,"[' Sci-Fi', ' Military', ' Drama', 'Action']"
52,['Zipang'],['Mobile Suit Gundam Wing: Endless Waltz'],4,"[' Sci-Fi', ' Military', ' Drama', 'Action']"
53,['Zipang'],['Mobile Suit Gundam Wing'],4,"[' Sci-Fi', ' Military', ' Drama', 'Action']"
54,['Zipang'],['Soukyuu no Fafner: Dead Aggressor'],4,"[' Sci-Fi', ' Military', ' Drama', 'Action']"
55,['Zipang'],['Appleseed (Movie)'],4,"[' Sci-Fi', ' Military', ' Drama', 'Action']"
56,['Zipang'],['Akira'],4,"[' Sci-Fi', ' Military', ' Seinen', 'Action']"
57,['Zipang'],['Kenpuu Denki Berserk'],4,"[' Military', ' Drama', ' Seinen', 'Action']"
58,['Neon Genesis Evangelion'],['Turn A Gundam'],4,"[' Sci-Fi', ' Mecha', ' Drama', 'Action']"
59,['Neon Genesis Evangelion'],['Mobile Suit Gundam SEED Destiny'],4,"[' Sci-Fi', ' Mecha', ' Drama', 'Action']"
60,['Neon Genesis Evangelion'],['Mobile Suit Gundam SEED'],4,"[' Sci-Fi', ' Mecha', ' Drama', 'Action']"
61,['Neon Genesis Evangelion'],['Mobile Suit Gundam Wing: Endless Waltz'],4,"[' Sci-Fi', ' Mecha', ' Drama', 'Action']"
62,['Neon Genesis Evangelion'],['Mobile Suit Gundam Wing'],4,"[' Sci-Fi', ' Mecha', ' Drama', 'Action']"
63,['Neon Genesis Evangelion'],['Soukyuu no Fafner: Dead Aggressor'],4,"[' Sci-Fi', ' Mecha', ' Drama', 'Action']"
64,['Neon Genesis Evangelion'],['Appleseed (Movie)'],4,"[' Sci-Fi', ' Mecha', ' Drama', 'Action']"
65,['Neon Genesis Evangelion'],['Koukaku Kidoutai'],4,"[' Sci-Fi', ' Mecha', ' Psychological', 'Action']"
66,['Neon Genesis Evangelion'],['Neon Genesis Evangelion: The End of Evangelion'],4,"[' Mecha', ' Drama', ' Psychological', ' Dementia']"
67,['Kenpuu Denki Berserk'],['Ayashi no Ceres'],4,"[' Drama', ' Romance', ' Supernatural', ' Horror']"
68,['Kenpuu Denki Berserk'],['Mai-HiME'],4,"[' Drama', ' Romance', ' Fantasy', 'Action']"
69,['Kenpuu Denki Berserk'],['Turn A Gundam'],5,"[' Romance', ' Adventure', ' Military', ' Drama', 'Action']"
70,['Kenpuu Denki Berserk'],['Mobile Suit Gundam SEED Destiny'],4,"[' Military', ' Romance', ' Drama', 'Action']"
71,['Kenpuu Denki Berserk'],['Mobile Suit Gundam SEED'],4,"[' Military', ' Romance', ' Drama', 'Action']"
72,['Kenpuu Denki Berserk'],['Shuffle!'],4,"[' Drama', ' Romance', ' Fantasy', ' Seinen']"
73,['Kenpuu Denki Berserk'],['Basilisk: Kouga Ninpou Chou'],5,"[' Romance', ' Fantasy', ' Adventure', ' Supernatural', 'Action']"
74,['Kenpuu Denki Berserk'],['Chrno Crusade'],4,"[' Romance', ' Supernatural', ' Demons', 'Action']"
75,['Kenpuu Denki Berserk'],['Blue Gender'],4,"[' Military', ' Romance', ' Drama', ' Horror']"
76,['Kenpuu Denki Berserk'],['Arc the Lad'],4,"['Action', ' Fantasy', ' Adventure', ' Horror']"
77,['Kenpuu Denki Berserk'],['Tenshi Kinryouku'],4,"[' Drama', ' Romance', ' Supernatural', 'Action']"
78,['Kenpuu Denki Berserk'],['Akira'],6,"[' Seinen', ' Adventure', ' Supernatural', ' Military', ' Horror', 'Action']"
79,['Koukaku Kidoutai'],['Appleseed (Movie)'],4,"[' Sci-Fi', ' Police', ' Mecha', 'Action']"
80,['Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen'],['Basilisk: Kouga Ninpou Chou'],4,"[' Historical', ' Romance', 'Action', ' Samurai']"
81,['Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen'],['Chrno Crusade'],4,"[' Romance', ' Historical', ' Shounen', 'Action']"
82,['Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen'],['Rurouni Kenshin: Meiji Kenkaku Romantan'],5,"[' Shounen', ' Romance', ' Samurai', 'Action', ' Historical']"
83,['Rurouni Kenshin: Meiji Kenkaku Romantan'],['Basilisk: Kouga Ninpou Chou'],5,"[' Romance', ' Adventure', ' Samurai', 'Action', ' Historical']"
84,['Rurouni Kenshin: Meiji Kenkaku Romantan'],['Chrno Crusade'],4,"[' Romance', ' Historical', ' Shounen', 'Action']"
85,['Akira'],['Turn A Gundam'],4,"[' Sci-Fi', ' Military', ' Adventure', 'Action']"
86,['Akira'],['Arc the Lad'],4,"[' Sci-Fi', 'Action', ' Adventure', ' Horror']"
87,['.hack//Sign'],['Chou Henshin Cosprayers'],4,"[' Sci-Fi', ' Magic', ' Fantasy', ' Adventure']"
88,['Aa! Megami-sama!'],['Aa! Megami-sama! (TV)'],5,"[' Romance', ' Seinen', 'Comedy', ' Supernatural', ' Magic']"
89,['Tenshi Kinryouku'],['Ayashi no Ceres'],4,"[' Drama', ' Romance', ' Supernatural', ' Shoujo']"
90,['Ai Yori Aoshi'],['Shuffle!'],4,"[' Romance', ' Drama', 'Harem', ' Comedy']"
91,['Appleseed (Movie)'],['Turn A Gundam'],5,"[' Military', ' Mecha', ' Sci-Fi', ' Drama', 'Action']"
92,['Appleseed (Movie)'],['Mobile Suit Gundam SEED Destiny'],5,"[' Military', ' Mecha', ' Sci-Fi', ' Drama', 'Action']"
93,['Appleseed (Movie)'],['Mobile Suit Gundam SEED'],5,"[' Military', ' Mecha', ' Sci-Fi', ' Drama', 'Action']"
94,['Appleseed (Movie)'],['Mobile Suit Gundam Wing: Endless Waltz'],5,"[' Military', ' Mecha', ' Sci-Fi', ' Drama', 'Action']"
